timestamp,user,role,parameter,old_value,new_value,comments
2025-07-07 09:58:28,AnshulAgarwal@dcmshriramprd.onmicrosoft.com,H2 Plant,Header Pressure Threshold (kgf/cm2) Min,35.0,55.0,
2025-07-07 09:58:28,AnshulAgarwal@dcmshriramprd.onmicrosoft.com,H2 Plant,Header Pressure Threshold (kgf/cm2) Max,125.0,130.0,
2025-07-07 10:10:07,AnshulAgarwal@dcmshriramprd.onmicrosoft.com,Caustic Plant,H2 generated (NM3) per ton of caustic,280.0,300.0,
2025-07-07 10:11:01,AnshulAgarwal@dcmshriramprd.onmicrosoft.com,H2 Plant,Header Pressure Threshold (kgf/cm2) Max,130.0,135.0,
2025-07-07 16:41:51,user123,Caustic Plant,H2 generated (NM3) per ton of caustic,300.0,320.0,
2025-07-07 16:51:21,user123,Caustic Plant,H2 generated (NM3) per ton of caustic,320.0,300.0,
2025-07-07 16:51:29,user123,Finance,Vent,0.0,-1.0,
2025-07-07 16:53:14,user123,Marketing,Demand - H2O2 (TPD) Min,80.0,75.0,
2025-07-07 16:53:14,user123,Marketing,Demand - H2O2 (TPD) Max,80.0,120.0,
2025-07-07 16:56:31,user123,H2O2 Plant,H2O2 Production Capacity (TPD) Min,75.0,70.0,
2025-07-07 19:22:26,user123,Finance,Vent,-1.0,-2.0,
2025-07-07 19:25:45,user123,H2O2 Plant,H2O2 Production Capacity (TPD) Min,70.0,50.0,
2025-07-07 19:32:07,user123,Finance,Vent,-2.0,-1.0,
2025-07-07 19:32:07,user123,Finance,Boiler,4.0,3.8,
